,,,,,,,,,,,,,,,
,,,,,"Demande de données 
N° 1506",,,,,,,,,,
15007,Versoud,"Aérodrome de Grenoble , Le Versoud",38150,38420,"5,85035","45,2172",923686,6461580,875983,2030243,723800,5011033,"5°51'1,26""","45°13'1,92""",216
15008,Grenoble Villeneuve,90 galerie des Baladins,38185,38100,"5,73635","45,1614",914959,6455066,867304,2023648,715060,5004520,"5°44'10,86""","45°9'41,04""",219
15009,Echirolles,8 rue Manouchian,38151,38130,"5,71434","45,143",913300,6452972,865661,2021537,713398,5002425,"5°42'51,62""","45°8'34,80""",232
15010,Le Peuil de Claix,Plateau du Peuil,38111,38640,"5,64603","45,1221",908012,6450471,860390,2018988,708104,4999926,"5°38'45,71""","45°7'19,56""",935
15011,Le Pont de claix,Stade avenue du Maquis de l'Oisans,38317,38800,"5,70093","45,1194",912337,6450311,864720,2018866,712432,4999763,"5°42'3,35""","45°7'9,84""",237
15012,Champagnier,Terrain des écoles,38068,38800,"5,727","45,1093",914424,6449264,866818,2017835,714520,4998713,"5°43'37,20""","45°6'33,48""",363
15013,Champ sur Drac,École des Gonnardières,38071,38560,"5,72866","45,0796",914668,6445969,867091,2014539,714762,4995415,"5°43'43,18""","45°4'46,56""",267
15014,Vizille,Services Techniques,38562,38220,"5,77086","45,0794",917988,6446060,870413,2014659,718084,4995504,"5°46'15,10""","45°4'45,84""",280
15015,Riouperoux,La Salinière - VC n°5  Place Saint-Jean,38212,38220,"5,89713","45,0863",927889,6447183,880314,2015868,727995,4996619,"5°53'49,67""","45°5'10,68""",491
15017,Fontaine les Balmes,31 bis Avenue Lénine,38169,38600,"5,68697","45,1905",910971,6458166,863285,2026716,711071,5007625,"5°41'13,09""","45°11'25,80""",210
15018,Voiron Urbain,Rue de Maubec,38563,38500,"5,58943","45,3602",902697,6476750,854844,2045246,702803,5026231,"5°35'21,95""","45°21'36,72""",280
15031,Le casset,Le Serre du Cuc Le Casset,5079,5220,"6,4695","44,9981",973316,6439213,925852,2008283,773459,4988597,"6°28'10,20""","44°59'53,16""",1755
15038,Saint Martin d'Hères,Parc Daniel Casanova,38421,38400,"5,75325","45,183",916202,6457516,868527,2026111,716306,5006971,"5°45'11,70""","45°10'58,80""",219
15039,Le Rondeau,Face au  23 - Chemin du Tremblay,38151,38130,"5,70377","45,1584",912411,6454651,864757,2023210,712510,5004106,"5°42'13,57""","45°9'30,24""",219
15043,Grenoble les Frênes,Ecole Maternelle Les Frênes,38185,38100,"5,73567","45,1622",914902,6455160,867246,2023741,715003,5004614,"5°44'8,41""","45°9'43,92""",214
15044,Voreppe Volouise,62 Impasse Jean de la Fontaine,38565,38340,"5,63852","45,2819",906829,6468178,859054,2036702,706933,5017649,"5°38'18,67""","45°16'54,84""",191
15045,Grenoble Périurbaine Sud,Allée traversière,38545,38450,"5,67689","45,058",910679,6443436,863120,2011970,710767,4992884,"5°40'36,80""","45°3'28,80""",310
15046,Grenoble Boulevards,48-50 Boulevard Foch,38185,38000,"5,72006","45,1807",913605,6457173,865931,2025744,713707,5006629,"5°43'12,22""","45°10'50,52""",214
15047,Grenoble_Polygone,53 avenue des Martyrs,38185,38000,"5,69764","45,2054",911752,6459853,864053,2028411,711854,5009313,"5°41'51,50""","45°12'19,44""",215
15048,Grésivaudan Périurbaine,Rue Léo Lagrange,38140,38190,"5,8824","45,28",925946,6468637,878184,2037325,726067,5018094,"5°52'56,64""","45°16'48,00""",260
15100,Chamrousse,Croix de Chamrousse,38567,38410,"5,90256","45,1257",928155,6451570,880543,2020262,728265,5001010,"5°54'9,22""","45°7'32,52""",2253
15110,Col de Porte,Centre d'étude de la neige,38472,38700,"5,76566","45,2951",916740,6469985,868958,2038595,716854,5019450,"5°45'56,38""","45°17'42,36""",1325
15111,Chartreuse,Les Bandets,73274,73670,"5,86713","45,4155",924203,6483639,876310,2052326,724333,5033112,"5°52'1,67""","45°24'55,80""",850
15112,Parc du Vercors,Le Golf,38129,38250,"5,51903","45,0238",898380,6439227,850846,2007651,698456,4988681,"5°31'8,51""","45°1'25,68""",0
15113,Col d'Ornon,Col d'Ornon,38073,387400,"5,96784","45,0075",933778,6438651,886282,2007379,733881,4988074,"5°58'4,22""","45°0'27,00""",1373
15500,Météo Gavet,site de l'usine FERROPEM sur la D1091,38212,38220,"5,87566","45,073",926255,6445646,878692,2014316,726358,4995082,"5°52'32,38""","45°4'22,80""",460
15501,Météo Jarrie,"291, route de l'Electro-Chimie",38200,38560,"5,73443","45,0927",915072,6447437,867482,2016012,715167,4996884,"5°44'3,95""","45°5'33,72""",0
15639,Foch Chaussée,46 Boulevard Foch,38185,38000,"5,72114","45,181",913689,6457199,866015,2025771,713791,5006655,"5°43'16,10""","45°10'51,60""",214
27001,Salaise sur Sanne,Les Cités - Groupe Scolaire Joliot-Curie,38468,38150,"4,80374","45,3554",841219,6474507,793330,2042474,641280,5024019,"4°48'13,46""","45°21'19,44""",151
27002,Roussillon,Lycée de l'Edit,38344,38150,"4,80515","45,3679",841299,6475890,793397,2043859,641360,5025403,"4°48'18,54""","45°22'4,44""",157
27003,Les Roches de Condrieu,"Stade des roches ""SIGIS""",38340,38370,"4,76653","45,4546",838061,6485448,790074,2053398,638124,5034968,"4°45'59,51""","45°27'16,56""",152
27004,Vienne Centre,Place de l'Hôtel de Ville  Francois Mitterrand,38544,38200,"4,87541","45,526",846380,6493577,798332,2061605,646452,5043099,"4°52'31,48""","45°31'33,60""",160
27005,Sablons,Place du champ de Foire Le Bourg,38349,38550,"4,77287","45,3197",838892,6470484,791035,2038427,638950,5019994,"4°46'22,33""","45°19'10,92""",137
27006,Plaine de Bièvre,Base de loisirs des Eydoches,38161,38260,"5,17413","45,3979",870082,6479946,822172,2048165,670164,5029448,"5°10'26,87""","45°23'52,44""",360
27007,Bourgoin-Jallieu,I.F.P.A.C. - Champfleuri,38053,38300,"5,27088","45,6083",876976,6503518,828871,2071816,677075,5053034,"5°16'15,17""","45°36'29,88""",225
27008,A7 Nord-Isère,Proximité A7,38468,38150,"4,80483","45,3532",841310,6474265,793423,2042233,641371,5023777,"4°48'17,39""","45°21'11,52""",160
27009,Météo Trédi,519 r Denis Papin, -,38150,"4,79492","45,3424",840562,6473041,792684,2041001,640622,5022552,"4°47'41,71""","45°20'32,64""",150
27102,Vienne Estressin,Maternelle Coteau Saint Hélène,38544,38200,"4,8641","45,5398",845461,6495082,797399,2063104,645533,5044605,"4°51'50,76""","45°32'23,28""",157
20001,PUITS GAILLOT,Hôtel de Ville,69380,69001,"4,83537","45,7678",842632,6520345,794351,2088364,642710,5069886,"4°50'7,33""","45°46'4,08""",166
20002,BERTHELOT,Musée de la  Résistance,69380,69007,"4,83616","45,7469",842746,6518030,794486,2086049,642824,5067570,"4°50'10,18""","45°44'48,84""",166
20003,GARIBALDI,D . E  .U,69380,69006,"4,85051","45,7682",843807,6520418,795527,2088448,643886,5069959,"4°51'1,84""","45°46'5,52""",167
20004,Saint Just,Ecole Mathilde Siraud,69380,69005,"4,82034","45,7554",841495,6518939,793226,2086948,641572,5068480,"4°49'13,22""","45°45'19,44""",250
20005,Croix Rousse,8 rue Dangon,69380,69004,"4,81998","45,7784",841408,6521491,793117,2089502,641486,5071034,"4°49'11,93""","45°46'42,24""",240
20006,Villette,25  rue A.Charrial,69380,69004,"4,86518","45,7584",844972,6519358,796702,2087397,645052,5068898,"4°51'54,65""","45°45'30,24""",170
20007,Duchère,Gr scolaire des Bleuets,69380,69009,"4,79502","45,7866",839448,6522359,791148,2090353,639525,5071903,"4°47'42,07""","45°47'11,76""",290
20008,Marietton,Théâtre des jeunes Années,69380,69009,"4,80364","45,7771",840142,6521324,791851,2089323,640219,5070867,"4°48'13,10""","45°46'37,56""",168
20009,Montchat,Ecole maternelle,69380,69003,"4,87273","45,7479",845586,6518208,797327,2086251,645666,5067747,"4°52'21,83""","45°44'52,44""",177
20010,Mermoz,209 avenue Général Frère,69380,69008,"4,88348","45,7278",846475,6515996,798235,2084045,646555,5065533,"4°53'0,53""","45°43'40,08""",172
20011,Brest,35 rue Paul Chenavard,69380,69001,"4,83307","45,7654",842459,6520079,794181,2088097,642537,5069620,"4°49'59,05""","45°45'55,44""",166
20013,La Mulatière,Face au 25 ter - Quai Pierre Sémard  (au bord de l'A7),69142,69350,"4,81816","45,7201",841416,6515017,793180,2083022,641492,5064555,"4°49'5,38""","45°43'12,36""",164
20015,La Mouche,Poste transformation EDF rue de Surville,69380,69009,"4,84369","45,7192",843404,6514960,795170,2082981,643481,5064497,"4°50'37,28""","45°43'9,12""",165
20016,Etats-Unis,Crèche collective municipale Weill,69380,69008,"4,85977","45,7387",844603,6517164,796352,2085198,644682,5066703,"4°51'35,17""","45°44'19,32""",172
20017,Gerland,Groupe Scolaire Claudius Berthelier,69380,69007,"4,8298","45,7354",842282,6516733,794032,2084747,642359,5066272,"4°49'47,28""","45°44'7,44""",165
20018,Point du Jour,"16, rue Jeunet",69380,69005,"4,79017","45,7486",839168,6518132,790903,2086120,639243,5067673,"4°47'24,61""","45°44'54,96""",277
20019,Grand Clément,Maison Berthy Albrecht,69266,69100,"4,88622","45,7584",846607,6519397,798338,2087450,646688,5068937,"4°53'10,39""","45°45'30,24""",177
20020,Croix Luizet,Groupe scolaire Jean Moulin,69266,69100,"4,89403","45,7765",847166,6521421,798880,2089480,647248,5070962,"4°53'38,51""","45°46'35,40""",170
20021,Charpennes,Groupe scolaire LAKANAL rue Garande,69266,69100,"4,86667","45,7756",845043,6521269,796757,2089310,645123,5070810,"4°52'0,01""","45°46'32,16""",169
20022,Zola,132 rue Anatole France,69266,69100,"4,88256","45,7686",846296,6520526,798017,2088577,646377,5070066,"4°52'57,22""","45°46'6,96""",150
20023,Caluire,Rue Jean MOULIN,69034,69300,"4,84977","45,8014",843663,6524097,795351,2092129,643743,5073641,"4°50'59,17""","45°48'5,04""",250
20025,Bron Vinatier,Hopital du VINATIER,69029,69500,"4,89313","45,7396",847194,6517322,798944,2085378,647275,5066860,"4°53'35,27""","45°44'22,56""",200
20026,Villefranche,Hôtel de ville,69264,69400,"4,71547","45,9887",832782,6544666,784286,2112622,632859,5094227,"4°42'55,69""","45°59'19,32""",194
20027,Saint-Genis Laval,Gr scolaire BERGIER MOUTON,69204,69230,"4,79617","45,6948",839770,6512169,791557,2080157,639844,5061706,"4°47'46,21""","45°41'41,28""",265
20029,Feyzin-Stade,Stade Municipal Jean Bouin,69276,69320,"4,84584","45,6639",843714,6508834,795533,2076853,643790,5058367,"4°50'45,02""","45°39'50,04""",159
20030,Feyzin - Mairie,Carré Brûlé chemin de la Mairie,69276,69320,"4,85625","45,6717",844505,6509713,796317,2077739,644581,5059246,"4°51'22,50""","45°40'18,12""",210
20031,Saint Fons - Centre,Stade municipal Carnot,69199,69190,"4,86449","45,7078",845051,6513738,796829,2081772,645129,5063274,"4°51'52,16""","45°42'28,08""",177
20032,Saint Fons - Clochettes,Centre Sportif et Culturel Léo Lagrange,69199,69190,"4,85382","45,6963",844251,6512444,796039,2080470,644328,5061979,"4°51'13,75""","45°41'46,68""",203
20033,Solaize, rue de Chariolle,69296,69360,"4,84303","45,6492",843534,6507191,795367,2075207,643609,5056723,"4°50'34,91""","45°38'57,12""",228
20034,Pierre Bénite,Groupe Scolaire des Cerisiers,69152,69310,"4,8297","45,6996",842366,6512763,794150,2080774,642442,5062299,"4°49'46,92""","45°41'58,56""",176
20035,Irigny,Chez Mr MARTIN,69100,69540,"4,82567","45,6781",842108,6510367,793913,2078374,642183,5059902,"4°49'32,41""","45°40'41,16""",230
20036,Saint Priest,R . V . I -  porte E,69290,69800,"4,91307","45,6998",848851,6512935,800640,2081001,648932,5062469,"4°54'47,05""","45°41'59,28""",196
20037,Ternay,Salle Omnisports du Dévès,69297,69360,"4,80254","45,6019",840501,6501871,792377,2069856,640572,5051400,"4°48'9,14""","45°36'6,84""",235
20038,Givors,Hôtel de ville - place Henri Barbusse,69091,69700,"4,77303","45,5823",838250,6499637,790143,2067601,638319,5049166,"4°46'22,91""","45°34'56,28""",160
20039,St-Romain - Les Orlets,"lieu dit  "" Les Orlets """,69235,69560,"4,80477","45,5486",840810,6495957,792736,2063939,640879,5045482,"4°48'17,17""","45°32'54,96""",300
20040,Millery,La  Tour de Millery,69133,69390,"4,80319","45,6303",840480,6505021,792329,2073008,640552,5054552,"4°48'11,48""","45°37'49,08""",166
20041,Chasse - Chatanay,"Lieu dit  "" CHATANAY""",38087,38670,"4,82518","45,5792",842324,6499390,794222,2067388,642395,5048917,"4°49'30,65""","45°34'45,12""",166
20042,St-Romain - Mairie,Mairie,69235,69560,"4,85879","45,5356",845058,6494613,796999,2062631,645129,5044136,"4°51'31,64""","45°32'8,16""",150
20043,Vénissieux,Groupe scolaire J.MOULIN  rue V.Komarov,69259,69200,"4,87568","45,69",845969,6511777,797765,2079817,646047,5061311,"4°52'32,45""","45°41'24,00""",215
20044,Neuville,Place de VERDUN,69143,69205,"4,83903","45,8781",842630,6532601,794245,2100631,642712,5082151,"4°50'20,51""","45°52'41,16""",182
20045,Genas,"DDE ""Les Grandes Terres"" - Porte du Dauphiné",69277,69740,"4,98055","45,7319",854011,6516631,805773,2084744,654097,5066166,"4°58'49,98""","45°43'54,84""",210
20046,Vaulx en Velin,ENTPE,69256,69120,"4,92492","45,779",849559,6521751,801273,2089831,649643,5071291,"4°55'29,71""","45°46'44,40""",172
20047,Cotière Ain,Passage de Paravis,1249,1700,"4,95396","45,8233",851693,6526726,803366,2094829,651780,5076270,"4°57'14,26""","45°49'23,88""",180
20048,Saint Exupéry,Complexe Sportif  Louis Durand,69285,69330,"5,0723","45,7536",861081,6519223,812827,2087400,661173,5068758,"5°4'20,28""","45°45'12,96""",217
20049,Dième,Le Bourg,69075,69170,"4,46571","45,9615",813509,6541249,765025,2109038,613572,5090811,"4°27'56,56""","45°57'41,40""",540
20050,Météo Loire S/ Rhône,Centrale EDF-GDF sur le toit de la centrale à 50 m,69118,69700,"4,80393","45,5677",840696,6498074,792605,2066058,640766,5047601,"4°48'14,15""","45°34'3,72""",0
20051,Météo Caluire,Toit d'un immeuble à 30 m,69034,69300,"4,8383","45,7845",842816,6522207,794520,2090230,642895,5071750,"4°50'17,88""","45°47'4,20""",0
20052,Météo Solaize,Entrée du Centre de recherche TOTALFINEELF,69296,69360,"4,83809","45,6582",843126,6508177,794950,2076190,643201,5057710,"4°50'17,12""","45°39'29,52""",0
20053,Météo Lafayette,Haut d'une terrasse de 5 m, -,69003,"4,85984","45,7633",844544,6519894,796270,2087930,644624,5069435,"4°51'35,42""","45°45'47,88""",0
20060,Venissieux-Village,Groupe Scolaire du Centre,69259,69200,"4,88364","45,7039",846551,6513344,798334,2081391,646630,5062879,"4°53'1,10""","45°42'14,04""",194
20061,Villefranche Village,330 - rue des Jardiniers,69264,69400,"4,71928","45,9864",833083,6544417,784589,2112376,633160,5093978,"4°43'9,41""","45°59'11,04""",204
20062,Lyon Centre,20 rue du Lac,69380,69003,"4,85422","45,7578",844122,6519269,795852,2087300,644201,5068809,"4°51'15,19""","45°45'28,08""",160
20063,Lyon_Periph_Est,Boulevard périphérique Laurent Bonnevay,69029,69500,"4,89616","45,7283",847459,6516075,799220,2084132,647540,5065612,"4°53'46,18""","45°43'41,88""",163
20064,Vernaison,Parking du Port Perret,69260,69390,"4,81691","45,6506",841496,6507302,793327,2075301,641570,5056835,"4°49'0,88""","45°39'2,16""",155
20065,Croix-Rousse Ecole,Ecole Michel Servet,69381,69001,"4,83694","45,7725",842741,6520868,794457,2088889,642820,5070410,"4°50'12,98""","45°46'21,00""",188
20066,Lyon Mermoz labo,Maison du Rhône 1,69388,69008,"4,88552","45,7292",846630,6516154,798389,2084204,646710,5065691,"4°53'7,87""","45°43'45,12""",175
20067,Lyon 8e Labo,24 Rue Stéphane Coignet,69388,69008,"4,87509","45,7282",845822,6516027,797581,2084070,645901,5065564,"4°52'30,32""","45°43'41,52""",175
20068,Villefranche périurbain,"604, rue de la Jacobée",1427,1600,"4,79611","45,9363",839155,6538982,790713,2106988,639236,5088538,"4°47'46,00""","45°56'10,68""",180
20100,Bossuet,D . E . U,69380,69006,"4,84988","45,7679",843759,6520383,795479,2088412,643838,5069924,"4°50'59,57""","45°46'4,44""",167
20204,Coteaux du lyonnais,D113,69269,69510,"4,59886","45,7235",824353,6515024,776103,2082883,624418,5064567,"4°35'55,90""","45°43'24,60""",805
36001,Valence périurbaine Sud,Groupe scolaire Joliot-Curie,26252,26800,"4,87629","44,8703",848179,6420774,800755,1988751,648214,4970255,"4°52'34,64""","44°52'13,08""",125
36002,Valence urbain centre,Square Lesdiguières,26362,26000,"4,89349","44,9336",849368,6427832,801885,1995825,649408,4977315,"4°53'36,56""","44°56'0,96""",125
36003,Valence Trafic,Rue Alsace-Lorraine,26058,26500,"4,88988","44,949",849043,6429536,801545,1997528,649084,4979020,"4°53'23,57""","44°56'56,40""",120
36004,Annonay Urbain Centre,Parc Saint Exupéry,7010,7100,"4,66971","45,2466",830983,6462189,783189,2030058,631033,5011699,"4°40'10,96""","45°14'47,76""",200
36005,Drôme Rurale Sud,Quartier Beauvallon,26114,26220,"5,08988","44,5208",866070,6382390,818992,1950483,666082,4931844,"5°5'23,57""","44°31'14,88""",460
36007,St Bauzile CECA,Mairie de St Bauzile le Village,7219,7210,"4,67359","44,676",832631,6398837,785379,1966660,632646,4948321,"4°40'24,92""","44°40'33,60""",460
36008,Vercors Sud,Avenue Bruyères,26074,26420,"5,41576","44,9711",890429,6433120,842940,2001470,690495,4982577,"5°24'56,74""","44°58'15,96""",908
36009,Montagne ardéchoise,Espace Raphaël,7120,7530,"4,28964","44,8109",801961,6413250,754558,1980824,601977,4962754,"4°17'22,70""","44°48'39,24""",1330
36010,Ardèche Rurale Sud,Le Village - Mairie,7101,7120,"4,28926","44,3997",802677,6367583,755663,1935119,602669,4917081,"4°17'21,34""","44°23'58,92""",130
36015,Vercors,Camping de groupe,26315,26420,"5,44975","45,0174",892947,6438343,845415,2006719,693019,4987801,"5°26'59,10""","45°1'2,64""",750
36016,Monts d'Ardèche,Centre culturel l'Hermet,7096,7190,"4,52834","44,8474",820753,6417641,773330,1985380,620776,4967137,"4°31'42,02""","44°50'50,64""",790
36017,Drôme Provencale Sud,Station d'Epuration  Quartier des Foutrasses,26211,26130,"4,85401","44,352",847772,6363170,800840,1931087,647763,4912636,"4°51'14,44""","44°21'7,20""",124
36018,Haut Buech,Station Météo France Lus la Croix Haute,26168,26620,"5,71112","44,6729",914840,6400778,867651,1969307,714891,4950192,"5°42'40,03""","44°40'22,44""",1069
36019,Romans-sur-Isère,extrémité sud-est du Parc François Mitterrand,26281,26100,"5,04413","45,0422",860936,6440194,813358,2008298,660990,4989676,"5°2'38,87""","45°2'31,92""",150
29421,Coubertin,1 rue Pierre de Coubertin,42218,42000,"4,38978","45,4668",808596,6486214,760577,2053914,608643,5035745,"4°23'23,21""","45°28'0,48""",480
29422,Jean Moulin,Place Jean Moulin,42218,42000,"4,39241","45,4374",808859,6482956,760868,2050655,608905,5032485,"4°23'32,68""","45°26'14,64""",482
29423,Roanne,Rue Gilbertes,42187,42300,"4,07465","46,0413",783106,6549622,734525,2117160,583151,5099194,"4°4'28,74""","46°2'28,68""",259
29424,Saint Etienne Sud,Place Préher,42218,42000,"4,39543","45,4201",809128,6481044,761154,2048743,609174,5030572,"4°23'43,55""","45°25'12,36""",552
29425,Firminy,Lycée Albert Camus,42095,42700,"4,28168","45,388",800292,6477324,752341,2044945,600332,5026853,"4°16'54,05""","45°23'16,80""",467
29426,Saint-Chamond,8 Rue Dugas Montbel,42207,42400,"4,51501","45,4754",818361,6487350,770341,2055133,618414,5036878,"4°30'54,04""","45°28'31,44""",366
29427,Veauche,Rue du stade,42323,42340,"4,29855","45,5659",801287,6497095,753169,2064741,601333,5046633,"4°17'54,78""","45°33'57,24""",389
29428,Saint Etienne Rond-Point,7 Rue Ernest Renan,42218,42000,"4,41278","45,422",810482,6481280,762506,2048990,610528,5030807,"4°24'46,01""","45°25'19,20""",584
29429,Rive-de-Gier,Rue Michelet,42186,42800,"4,62394","45,5335",826738,6493970,778669,2061830,626798,5043499,"4°37'26,18""","45°32'0,60""",259
29432,Loire rural,Le bourg,42021,42560,"4,10444","45,5128",786230,6490970,738151,2058483,586267,5040509,"4°6'15,98""","45°30'46,08""",588
29436,Pilat,Le Village,42067,42220,"4,60175","45,3384",825446,6472277,777561,2040107,625497,5021794,"4°36'6,30""","45°20'18,24""",800
29437,St Just St Rambert,11 route Chambles,42279,42170,"4,2462","45,4984",797322,6489543,749265,2057149,597364,5039078,"4°14'46,32""","45°29'54,24""",385
29439,Est Stéphanois / La Talaudière,19 rue Romain Rolland, -,42350,"4,4299","45,4816",811701,6487917,763670,2055644,611750,5037447,"4°25'47,64""","45°28'53,76""",0
33101,Pasteur,square Pasteur,73065,73000,"5,92844","45,5646",928381,6500356,880349,2069094,728526,5049844,"5°55'42,38""","45°33'52,56""",280
33102,Chambéry le Haut,Rue du Grand Champ,73065,73000,"5,91868","45,5968",927488,6503902,879424,2072636,727634,5053394,"5°55'7,25""","45°35'48,48""",383
33103,Barby,Square de la Mairie,73030,73230,"5,97875","45,5711",932276,6501228,884239,2070000,732425,5050714,"5°58'43,50""","45°34'15,96""",317
33111,Saint-Jean de Maurienne,Rue Charles Dullin,73248,73300,"6,3496","45,2747",962574,6469502,914838,2038507,762734,5018931,"6°20'58,56""","45°16'28,92""",555
33112,Saint Julien Montdenis,Rue Miguet Perron,73250,73870,"6,41224","45,2493",967603,6466888,919894,2035934,767767,5016309,"6°24'44,06""","45°14'57,48""",653
33120,Chamonix,Rue du Lyret,74056,74400,"6,86993","45,9226",999806,6543226,951465,2112619,800068,5092733,"6°52'11,75""","45°55'21,36""",1038
33121,Albertville,Rue Félix Chautemps,73011,73200,"6,3896","45,6751",963799,6514057,915679,2083112,763993,5063540,"6°23'22,56""","45°40'30,36""",352
33201,Loverchy,Rue du Travail,74010,74000,"6,11844","45,8953",941741,6537626,893399,2106511,741919,5087149,"6°7'6,38""","45°53'43,08""",453
33202,Novel,Impasse de l'Arcalod,74010,74000,"6,13566","45,9171",942980,6540088,894617,2108987,743160,5089614,"6°8'8,38""","45°55'1,56""",461
33211,Annemasse,Avenue Florissant,74012,74100,"6,2406","46,1958",949837,6571344,901210,2140328,750035,5120907,"6°14'26,16""","46°11'44,88""",441
33212,Gaillard,Rue du Pont Noir,74133,74240,"6,21504","46,1939",947877,6571055,899251,2140022,748072,5120618,"6°12'54,14""","46°11'38,04""",426
33220,Passy,Rue Salvatore Allende,74208,74190,"6,71364","45,9235",987703,6542749,939355,2112036,787945,5092260,"6°42'49,10""","45°55'24,60""",588
33232,Bossons,En bordure de chaussée de la RD1205,74056,74400,"6,84505","45,9067",997966,6541370,949640,2110745,798224,5090875,"6°50'42,18""","45°54'24,12""",1000
33233,Aiguille du Midi,Aiguille du Midi,74056,74400,"6,88727","45,8786",1001389,6538413,953091,2107815,801651,5087911,"6°53'14,17""","45°52'42,96""",3842
33260,Thonon les Bains,Ecole des Suets,74281,74200,"6,48469","46,3745",967768,6591971,918979,2161127,767994,5141560,"6°29'4,88""","46°22'28,20""",425
33301,Bourg en Bresse,Rue du Docteur Duby,1053,1000,"5,22475","46,2123",871493,6570463,822809,2138773,671606,5120039,"5°13'29,10""","46°12'44,28""",223
33302,Saint Germain sur Rhône,"Lieu-dit ""Sous les Ages""",74235,74910,"5,8208","46,0724",917977,6556403,869452,2125100,718133,5105956,"5°49'14,88""","46°4'20,64""",477
33303,Ferney Voltaire,Maison St-Pierre,1160,1210,"6,11255","46,2558",939708,6577607,891019,2146509,739894,5127180,"6°6'45,18""","46°15'20,88""",417
33305,Bourg en Bresse,,1053,1000,"5,22651","46,2117",871630,6570401,822947,2138712,671743,5119977,"5°13'35,44""","46°12'42,12""",223
33411,Plan du Lac,Parc national de la Vanoise,73290,73500,"6,83037","45,34",999881,6478460,952102,2047796,800098,5027867,"6°49'49,33""","45°20'24,00""",2422
